The emission factors (EFs) in this table constitute the Next-generation Emissions InVentory expansion of Akagi (NEIVA) version 1.1.0. ,,,,,,,,,,,,,,,,,
NEIVAv1.1.0 EFs were based on the recommended and processed EF databases of NEIVA version 1.0 (Github Repository- https://github.com/NEIVA-BB-emissions-Inventory/NEIVA/tree/main ) with the following modifications:,,,,,,,,,,,,,,,,,
"To better represent global averages, the NEIVAv1.1.0 savanna average excludes the savanna emission factors from Travis et al. (doi.org/10.1029/2023JD039309) and Dessertvaz et al. (doi.org/10.1002/2016JD025925) that were included in NEIVAv1.0.",,,,,,,,,,,,,,,,,
"The NEIVAv1.0 boreal forest EF for BC was based on a single publication, Hayden et al. (doi.org/10.5194/acp-22-12493-2022), in which relatively dilute plume(s) were sampled (i.e., low PM EFs). To better represent the range of PM values included in NEIVAv1.0 and v1.1.0, the boreal forest EF for BC in NEIVAv1.1.0 was derived by: 1) calculating the BC/PM2.5* ratio from Hayden et al., 2) using that ratio to calculate a BC EF from the PM2.5* EF values extracted from the NEIVAv1.0 processed database, and 3) averaging all of the BC EF values.  ",,,,,,,,,,,,,,,,,
"NMOC_g represents the summed EFs of all gaseous non-methane organic compounds excluding the explicitly represented individual/lumped species in rows (29-46, 48-54). ",,,,,,,,,,,,,,,,,
The molecular weight of NMOC_g  is the EF-weighted molecular weight of all the NMOC_g compounds for a specific fire type. Equation: (sum over i: EF_i (g/kg) * MM_i (g/mol))/EF_tot (g/kg)).,,,,,,,,,,,,,,,,,
"The lumped compounds (e.g., TPC, terpenes, toluene_lump, higher_alkenes and higher_alkanes) and EF with data count 1 do not have standard deviation.",,,,,,,,,,,,,,,,,
'Agricultural Waste' in NEIVA v.1.1 corresponds to 'Crop Residue' in NEIVAv.1.0.,,,,,,,,,,,,,,,,,
"Based on prior versions of GFED, carbon content, CC = (12/44)*EFCO2+(12/28)*EFCO+(12/16)*EFCH4 ",,,,,,,,,,,,,,,,,
"Based on prior versions of GFED, 'Toluene_lump'  is derived from the EFs of benzene, toluene, xylene using the equation: sum over (nC_i*12/mm_i)*EF_i where i is benzene, toluene and xylene. *Note*:  either the individual aromatic (benzene, toluene, xylene) EFs should be used or the EF of 'Toluene_lump' but not both.",,,,,,,,,,,,,,,,,
"Based on prior versions of GFED, 'Higher_Alkenes' is derived as shown in rows 62-72.  Equation: sum over (nC_i*12/mm_i)*EF_i where i is NMOC_g mapped to OLE2 model species.",,,,,,,,,,,,,,,,,
"Based on prior versions of GFED, 'Higher_Alkanes' is derived as shown in row 76-86. Equation: sum over (nC_i*12/mm_i)*EF_i where i is NMOC_g mapped to ALK5 model species.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Species,,Biome,,,,,,,,,,,,,,,
,Molecular weight,Tropical Forest,Standard Deviation,Temperate Forest,Standard Deviation,Boreal Forest,Standard Deviation,Savanna,Standard Deviation,Agricultural Waste ,Standard Deviation,Peat,Standard Deviation,,,,
CO2,44,1625,90,1581,130,1610,42,1688,38,1441,57,1572,173,,,,
CO,28,111,57,96,15,100,9,69,15,58,13,225,37,,,,
CH4,16,4.68,2.03,4.74,1.89,4.78,1.82,2.08,0.92,2.14,1.13,11.10,4.60,,,,
NMOC_g,,6.80,,24.31,,15.34,,15.33,,21.40,,36.59,,,,,
H2,2,3.36,0.63,2.03,,,,1.70,,2.07,,1.22,,,,,
NOx (as NO),30,2.55,,1.65,1.02,1.21,1.30,4.00,1.60,2.05,1.08,0.93,0.73,,,,
N2O,44,,,0.16,0.16,0.21,0.09,,,,,,,,,,
PM2.5,,9.11,6.99,17.94,11.25,12.77,,5.95,3.51,12.74,11.27,24.78,6.53,,,,
TPM,,,,,,,,,,,,,,,,,
TPC (OC+BC),12,4.33,,10.87,,,,2.99,,9.92,,13.19,,,,,
OC,12,3.99,2.24,10.43,1.35,,,2.62,0.45,9.47,4.01,13.17,7.57,,,,
BC,12,0.34,0.26,0.44,0.14,0.31,0.15,0.37,0.03,0.45,0.23,0.02,0.02,,,,
SO2,64,0.40,0.17,0.95,0.49,0.56,0.43,0.90,0.73,1.25,0.65,2.06,0.60,,,,
